,,,中文翻譯,日文翻譯,捷克文翻譯,越文翻譯,越文例句,英文例句,日文例句,捷克文例句,中文翻譯
factual uses,neutral uses,thing,東西、問題,こと,to,vấn đề,"Bạn hiện tại đã 61 tuổi, đã đến lúc để bạn ổn định cuộc sống. ""Vấn đề là anh ấy cần rất nhiều tình yêu"".",You're 61 now and it's time you settled down. “the thing is that he needs a lot of loving.,"もう61歳だし、そろそろ落ち着いてもいいんじゃない？""彼にはたくさんの愛情が必要だということである。","Teď je vám 61 a je čas se usadit. ""Jde o to, že potřebuje hodně lásky.""",你現在 61 歲，是時候該安定下來了。「問題是，他需要非常多的愛。」
factual uses,neutral uses,fact,其實、事實（上）,事実,vzhledem,sự thật,"Chúng tôi chưa bao giờ hy vọng John sẽ thay đổi nó theo cách đó, sự thật là, dù thế nào anh ấy cũng sẽ thay đổi chính quyền địa phương trên khắp cả nước.",We never expected John that er they would just change it like that in the light of the fact that they’re going to change local government across the country anyway. ,全国の地方自治体を変えようとする事実に照らして考えると、ジョンがそのように変えることを期待したことがなかった。,"Nikdy jsme neočekávali, že John, že er, že to tímto způsobem změní vzhledem k tomu, že stejně změní místní vlády po celé zemi. ",我們從來沒想過約翰，呃，他們會像那樣做成改變，因為事實上，無論如何他們都會改變全國各地的地方政府。
factual uses,neutral uses,phenomenon,現象,現象,fenoménu,hiện tượng,"Sau đó, xác ướp trở thành hình mẫu lý tưởng của cô ấy, và sự đố kỵ ngày một lớn dần. ""Sự đố kỵ với xác ướp là một khía cạnh nguy hiểm nhất của hiện tượng mới này.""","""[...].Later, mummy herself becomes the prototype for her aspirations and a little envy begins to creeps in."" It is this supposed envy of mummy that is the most dangerous aspect of the new phenomenon. ","その後、ミイラ自身が彼女の願望の原型となり、少しの羨望が忍び寄ってくる。"" このミイラへの羨望こそが、この新しい現象の最も危険な側面なのである。", „[...]. Později se maminka sama stala prototypem jejích tužeb a malá závist se začala vkrádat .“ Právě tato domnělá závist k mamince je nejnebezpečnějším aspektem nového fenoménu. ,之後，木乃伊成為了她願望中的原型，同時嫉妒感一點一滴的增長。「木乃伊的這種嫉妒之心正是這種新出現的現象中最危險的部分」
factual uses,neutral uses,case,實例、案例、觀點,,,trường hợp,,,,,
factual uses,neutral uses,business,狀況、事務、事,,,công việc,,,,,
factual uses,neutral uses,point,觀點、論點、想法、意見,,,luận điểm,,,,,
factual uses,causal uses,reason,理由、原因,理由,důvod,lý do,Nhưng Stehli có lý do chính đáng để viết lên câu chuyện của cô ấy.,But Stehli has a good reason to write her story. ,しかし、Stehliには彼女の物語を書く正当な理由がある。, Ale Stehli má dobrý důvod napsat svůj příběh. ,但是斯特里有很好的理由來寫出她的故事。
factual uses,causal uses,cause,原因,,,"lý do, nguyên nhân",,,,,
factual uses,causal uses,ground,原因、領域,,,,,,,,
factual uses,causal uses,result,結果,結果,výsledkem,kết quả,"Nếu phụ nữ dành nhiều thời gian để chăm sóc con cái khi còn trẻ, sự nghiệp và quyền lợi hưu trí của họ có thể sẽ bị ảnh hưởng. Vì vậy, họ nhờ đến sự giúp đỡ của các bà. Kết quả là bạn hiểu rõ cháu hơn con của mình.","When women are young, their careers and pension rights would be damaged if they took time off for their children, so grandmothers must help. The result is that you often know your grandchildren better than your own children! ","
女性が若いとき、子供のために休暇を取ると、キャリアと年金が損なわれるので、祖母は助けなければなりません。その結果、しばしば自分の子供よりも孫のことをよく知っているということになる。","Pokud jsou ženy mladé, jejich kariéra a nárok na důchod by byly ohroženy, kdyby si vzaly volno pro své děti, a proto musí pomoci babičky. Výsledkem je, že často znáte své vnoučata lépe než své vlastní děti! ",女性在年輕時，如果請假照顧孩子，那她們的工作生涯以及退休金的權利很可能會受損，所以祖母必須幫忙照顧孩子，結果就是通常你比起自己兒女更認識自己的孫子、孫女。
